wordID	term	sentence A	sentence B	score1	score2	score3
119	looking-glass self 	 A term coined by sociologist Charles Horton Cooley to emphasize the extent to which our own self-understandings are dependent on how others view us.	 A term coined by Charles Horton Cooley to refer to the process by which our self develops through internalizing others’ reactions to us.
120	life span 	 The maximum length of life that is biologically possible for a member of a given species.	 The maximum length of life of a species; for humans, the longest that a human has lived.
121	family of orientation 	 The family into which an individual is born or adopted.	 The family in which a person grows up.
122	significant other 	 A term coined by George Herbert Mead to mean individuals close enough to us to have a strong capacity to motivate our behavior.	 An individual who significantly influences someone else.
123	stigma 	 Any physical or social characteristic that is labeled by society as undesirable.	 “blemishes” that discredit a person’s claim to a “normal” identity.
124	urban ecology 	 An approach to the study of urban life based on an analogy with the adjustment of plants and organisms to the physical environment. According to ecological theorists, the various neighborhoods and zones within cities are formed as a result of natural processes of adjustment on the part of populations as they compete for resources.	 An approach to the study of cities, social change, and urban life introduced into sociology by the Chicago School to explain how different social groups within cities compete over scarce resources. This competition was thought to promote efficiency and social equilibrium, as distinct sectors of the population adapted to their local environments.
125	genocide 	 The systematic, planned destruction of a racial, political, or cultural group.	 The deliberate and systematic killing of a category of people.
126	absolute poverty 	 The minimal requirements necessary to sustain a healthy existence.	 A measure of the minimum requirements needed for people to have basic standards of food, clothing, health, and shelter. Any individual or family falling below this fixed amount is defined as living in poverty. The official U.S. government definition of poverty is an absolute measure based on an estimate of minimum living standards first established in the 1960s and adjusted for inflation thereafter.
127	science 	 The disciplined marshaling of empirical data, combined with theoretical approaches and theories that illuminate or explain those data. Scientific activity combines the creation of new modes of thought with the careful testing of hypotheses and ideas. One major feature that helps distinguish science from other idea systems (such as religion) is the assumption that all scientific ideas are open to criticism and revision.	 The application of systematic methods to obtain knowledge and the knowledge obtained by those methods.
128	fertility 	 The average number of live-born children produced by women of childbearing age in a particular society.	 The process by which members of a population produce live births.
129	dependent variable 	 A variable that fluctuates in relation to other (“independent”) variables. In research, the dependent variable is the object of explanation, or what the researcher is trying to explain.	 A factor in an experiment that is changed by an independent variable.
130	terrorism 	 Use of attacks on civilians designed to persuade a government to alter its policies, or to damage its standing in the world.	 A type of warfare in which a weaker group challenges a more powerful group by attacking civilian targets of importance to the more powerful group. State terrorism occurs when a country’s military attacks civilian populations.
131	nuclear family 	 A family group consisting of an adult or adult couple and their dependent children.	 A term used to describe a family consisting of a husband and wife and their children.
132	egalitarian 	 A society, organization, or group characterized by having little or very low levels of inequality.	 Authority more or less equally divided between people or groups (in heterosexual marriage, for example, between husband and wife).
133	feminism 	 Advocacy of the rights of women to be equal with men in all spheres of life. Feminism dates from the late eighteenth century in Europe, and feminist movements exist in most countries today.	 The philosophy that men and women should be politically, economically, and socially equal; organized activities on behalf of this principle.
134	mean 	 A statistical measure of central tendency, or average, based on dividing a total by the number of individual cases.	 A statistical term that refers to the average value of a set of data. Add all values and then divide the total by the number of values used.
135	social structure 	 The external forces, most notably social hierarchy, norms, and institutions, that provide the context for individual and group action.	 The framework of society that surrounds us; consists of the ways that people and groups are related to one another; this framework gives direction to and sets limits on our behavior.
136	dependency ratio 	 The ratio of people of dependent ages (children and the elderly) to people of economically active ages.	 The number of workers who are required to support each dependent person—those 65 and older and those 15 and under.
137	charisma 	 Derived from a Greek word meaning “gift of grace,” Weber introduced the idea of charisma into the sociological study of social change to refer to unique individuals who claim special powers or gifts that their followers believe to be true.	 Literally, an extraordinary gift from God; more commonly, an outstanding, “magnetic” personality.
138	sect 	 A religious movement that breaks away from orthodoxy.	 A religious group larger than a cult that still feels substantial hostility from and toward society.
139	life course 	 The various transitions and stages people experience during their lives.	 The transitions individuals make as they age through their lives. A typical life course includes childhood, adolescence, the transition to adulthood and first job, perhaps becoming a parent, retiring, and death. The study of the life course by sociologists centers on the key transitions, or turning points, in individual lives and the larger social patterns they represent.
140	Medicare 	 A program under the U.S. Social Security Administration that reimburses hospitals and physicians for medical care provided to qualifying people over sixty-five years old.	 A federal government program in the United States that provides health insurance to all individuals over 65 years of age.
141	division of labor 	 The specialization of work tasks, by means of which different occupations are combined within a production system. All societies have at least some rudimentary form of division of labor, especially between the tasks allocated to men and those performed by women. With the development of industrialism, the division of labor became vastly more complex than in any prior type of production system. In the modern world, the division of labor is international in scope.	 The specialization of individuals in any organization or group, or in society as a whole, particularly in relation to work. There is thus a division of labor in all of society (with different people working in different occupations), a division of labor in individual organizations (where different people perform different tasks) and a division of labor in individual families and communities.
142	religion 	 A set of beliefs adhered to by the members of a community, incorporating symbols regarded with a sense of awe or wonder together with ritual practices. Religions do not universally involve a belief in supernatural entities.	 According to Durkheim, beliefs and practices that separate the profane from the sacred and unite its adherents into a moral community.
143	wealth 	 Money and material possessions held by an individual or group.	 The wealth of an individual or family is the net value of all assets owned by an individual or family, including the value of their home.
144	glass ceiling 	 A promotion barrier that prevents a woman’s upward mobility within an organization.	 A term used to describe the limitations on the advancement of women in corporations, suggesting that even as firms begin to hire large numbers of women they are failing to promote them into positions of power and authority.
145	random sampling 	 Sampling method in which a sample is chosen so that every member of the population has the same probability of being included.	 A technique for choosing participants for a research study in which each person in the population of interest has an equal chance of being chosen so that the sample mirrors a larger population and reflects its characteristics or dynamics.
146	ageism 	 Discrimination or prejudice against a person on the grounds of age.	 Prejudice and discrimination directed against people because of their age; can be directed against any age group, including youth.
147	formal organization 	 Means by which a group is rationally designed to achieve its objectives, often using explicit rules, regulations, and procedures.	 A secondary group designed to achieve explicit objectives.
148	multiculturalism 	 The viewpoint according to which ethnic groups can exist separately and share equally in economic and political life.	 Beliefs or policies promoting the equal accommodation of different ethnic or cultural groups within a society. It is sometimes also used to refer to the benefits of dialogue and interaction between different groups.
149	public opinion 	 The views of citizens in the aggregate on social and political topics. Public opinion is usually measured through opinion polls and surveys, where modern sampling techniques allow researchers to estimate opinions by asking a smaller representative group of citizens.	 How people think about some issue.
150	secularization 	 A process of decline in the influence of religion. Although modern societies have become increasingly secularized, tracing the extent of secularization is a complex matter. Secularization can refer to levels of involvement with religious organizations (such as rates of church attendance), the social and material influence wielded by religious organizations, and the degree to which people hold religious beliefs.	 A process of declining influence or marginalization of religion in society.
151	latent functions 	 Functional consequences that are not intended or recognized by the members of a social system in which they occur.	 Unintended beneficial consequences of people’s actions.
152	mores 	 A subtype of norm; they are widely adhered to and have great moral or social significance. Violations are generally sanctioned strongly.	 Norms that are strictly enforced because they are thought essential to core values or the well-being of the group.
153	survey 	 A method of sociological research in which questionnaires are administered to the population being studied.	 A type of research in which information is derived by asking people to answer standardized questions, which may collect information about any aspect of human life of interest to the investigator, including information about jobs, employment, family life, health, education, and policy or political attitudes and values.
154	ethnicity 	 Cultural values and norms that distinguish the members of a given group from others. An ethnic group is one whose members share a distinct awareness of a common cultural identity, separating them from other groups. In virtually all societies, ethnic differences are associated with variations in power and material wealth. Where ethnic differences are also racial, such divisions are sometimes especially pronounced.	 A system for classifying people who are believed to share common descent, based on perceived cultural similarities.
155	hidden curriculum 	 Traits of behavior or attitudes that are learned at school but not included within the formal curriculum—for example, gender differences.	 The often unstated standards of behavior that teachers and administrators expect from children within the education system. These often unstated expectations may reflect the middle-class biases and norms of school professionals.
156	politics 	 The means by which power is employed to influence the nature and content of governmental activities. The sphere of the political includes the activities of those in government, but also the actions of others. There are many ways in which people outside the governmental apparatus seek to influence it.	 The exercise of power and attempts to maintain or to change power relations.
157	alienation 	 The sense that our own abilities as human beings are taken over by other entities. The term was originally used by Karl Marx to refer to the projection of human powers onto gods. Subsequently he used the term to refer to the loss of workers’ control over the nature and products of their labor.	 Marx’s term for workers’ lack of connection to the product of their labor; caused by workers being assigned repetitive tasks on a small part of a product, which leads to a sense of powerlessness and normlessness; others use the term in the general sense of not feeling a part of something.
158	union 	 An organization that advances and protects the interests of workers with respect to working conditions, wages, and benefits.	 An organized association of workers created in order to protect and fight for rights or resources for their members. Unions can be organized at a single workplace, across multiple workplaces of the same company or in the same industry.
159	power elite 	 Small networks of individuals who, according to C. Wright Mills, hold concentrated power in modern societies.	 C. Wright Mills’ term for the top people in U.S. corporations, military, and politics who make the nation’s major decisions.
160	reliability 	 The extent to which the same measurement technique in additional studies would end up producing similar results.	 The extent to which research produces consistent or dependable results.
161	megacity 	 A city with a population over 10 million.	 A city of 10 million or more residents.
162	values 	 Ideas held by individuals or groups about what is desirable, proper, good, and bad. What individuals value is strongly influenced by the specific culture in which they happen to live.	 The standards by which people define what is desirable or undesirable, superior or inferior, good or bad, beautiful or ugly.
163	authority 	 A government’s legitimate use of power.	 The ability to compel others to do things without needing to resort to threats. For Max Weber, authority requires legitimacy; that is, individuals grant authority to those they believe have a legitimate right to rule.
164	race 	 Differences in human physical characteristics used to categorize large numbers of individuals.	 A system for classifying people who are believed to share common descent, based on perceived innate physical similarities.
165	environmental sociology 	 The study of how society simultaneously shapes and is shaped by the physical environment.	 A specialty within sociology whose focus is how humans affect the environment and how the environment affects humans.
166	middle class 	 A social class composed broadly of those working in white-collar and lower managerial occupations.	 A group of people who occupy the middle positions in terms of income and status in an economic system.
167	extended family 	 A family group consisting of more than two generations of relatives.	 A family in which relatives, such as the “older generation” or unmarried aunts and uncles, live with the parents and their children.
168	denomination 	 A religious sect that has lost its revivalist dynamism and become an institutionalized body, commanding the adherence of significant numbers of people.	 An organized branch of a larger religious tradition.
169	manifest functions 	 The functions of a particular social activity that are known to and intended by the individuals involved in the activity.	 The intended beneficial consequences of people’s actions.
170	polyandry 	 A form of marriage in which a woman may have two or more husbands simultaneously.	 A form of marriage in which women have more than one husband.
171	self-fulfilling prophecy 	 A term coined by Robert Merton to mean the process by which someone is defined in a particular way and then comes to fulfill the expectations of that definition.	 Robert Merton’s term for an originally false assertion that becomes true simply because it was predicted.
172	political action committee (PAC) 	 A term used in U.S. politics to describe an organization set up to collect political donations from individuals, corporations, or unions to influence political and electoral outcomes.	 An organization formed by one or more special-interest groups to solicit and spend funds for the purpose of influencing legislation.
173	proletariat 	 People who sell their labor for wages, according to Marx.	 Individuals in capitalist economies who work in exchange for pay. The term is usually reserved for people performing manual jobs and is synonymous with “working class.”
174	caste society 	 A society in which different social levels are closed, so that all individuals must remain at the social level of their birth throughout life.	 A society in which a person’s social position is determined by the family he or she is born into.
175	subculture 	 Values and norms distinct from those of the majority, held by a group within a wider society.	 A relatively small group of people whose affiliation is based on shared beliefs, preferences, and practices that distinguish them from the mainstream or larger social group to which they also belong.
176	church 	 A large, established religious body, normally having a formal, bureaucratic structure and a hierarchy of religious officials. The term is also used to refer to the place in which religious ceremonies are carried out.	 According to Durkheim, one of the three essential elements of religion—a moral community of believers; also refers to a large, highly organized religious group that has formal, sedate worship services with little emphasis on evangelism, intense religious experience, or personal conversion.
177	criminal justice system 	 The entire body of laws and institutions that regulate and punish criminal activity. This includes written laws, courts, and other organizations where guilt or innocence is determined, as well as the places (such as jails and prisons, but also probation and parole offices) where those who have been convicted of a criminal offense are supervised.	 The system of police, courts, and prisons set up to deal with people who are accused of having committed a crime.
178	suburb 	 Traditionally, a residential enclave within commuting distance of a city.	 A community adjacent to a city.
179	primary group 	 A group that is characterized by intense emotional ties, face-to-face interaction, intimacy, and a strong, enduring sense of commitment.	 A small group characterized by intimate, longterm, face-to-face association and cooperation.
180	urban renewal 	 The process of renovating deteriorating neighborhoods by encouraging the renewal of old buildings and the construction of new ones.	 The attempt to improve impoverished areas by tearing down existing structures and even whole neighborhoods. In the mid-twentieth century, at the height of the urban renewal movement, many working-class neighborhoods across America were destroyed, in many cases benefiting real estate developers and business interests who moved in and redeveloped the areas.
181	anomie 	 A concept first brought into wide usage in sociology by Durkheim, referring to a situation in which social norms lose their hold over individual behavior.	 Durkheim’s term for a condition of society in which people become detached from the usual norms that guide their behavior.
182	income 	 Payment, usually derived from wages, salaries, or investments.	 The receipt of money or goods over a particular accounting period (such as hourly, weekly, monthly, or yearly). Income may include wages from a job, benefits from a pension or government program, or income from investments.
183	slavery 	 A form of social stratification in which some people are owned by others as their property.	 A social system that denies some individuals all basic rights, allowing these individuals to be owned, controlled, and compelled to work for others.
184	gentrification 	 A process of urban renewal in which older, deteriorated housing is refurbished by affluent people moving into the area.	 The process that occurs when neighborhoods undergo a process of change where new investment, new people, and new establishments move into and alter the character of the neighborhood.
185	corporate culture 	 An organizational culture involving rituals, events, or traditions that are unique to a specific company.	 The values, norms, and other orientations that characterize corporate work settings.
186	cultural relativism 	 The practice of judging a society by its own standards.	 The idea that cultural meanings and practices must be evaluated in their own social contexts.
187	oligarchy 	 Rule by a small minority within an organization or society.	 A form of government in which a small group of individuals holds power; the rule of the many by the few.
188	feminization of poverty 	 An increase in the proportion of the poor who are female.	 A condition of U.S. poverty in which most poor families are headed by women.
189	revolution 	 A revolution consists, at minimum, of a change of government or political regime brought about, at least in part, by popular protest. Some define revolutions (or “social revolutions”) more narrowly, as entailing not only a change of regime but also a fundamental change in a society’s economic institutions and class structure.	 Armed resistance designed to overthrow and replace a government.
190	epidemiology 	 The study of health-related events in populations, their characteristics, their causes, and their consequences.	 The study of patterns of disease and disability in a population.
191	industrialization 	 The emergence of machine production, based on the use of inanimate power resources (such as steam or electricity).	 A process of economic change characterized by the decline of farming and the growth of factories and large-scale goods production.
192	mechanical solidarity 	 According to Emile Durkheim, mechanical solidarity refers to the factors that hold primitive societies together, mostly through family and kinship ties and a collective consciousness shared by all members of the community.	 Durkheim’s term for the unity (a shared consciousness) that people feel as a result of performing the same or similar tasks.
193	out-group 	 A group toward which one feels antagonism and contempt—”those people.”	 A group toward which one feels antagonism.
194	assimilation 	 The acceptance of a minority group by a majority population, in which the new group takes on the values and norms of the dominant culture.	 The process by which immigrants come to be incorporated into their new society by taking on the cultural tastes and practices of the new society.
195	medicalization 	 The process by which some human condition comes to be defined as a medical condition, one that can be treated using medicine.	 The transformation of a human condition into a medical matter to be treated by physicians.
196	informed consent 	 The process whereby the study investigator informs potential participants about the risks and benefits involved in the research study. Informed consent must be obtained before an individual participates in a study.	 The voluntary participation of someone in a research project or medical treatment based on the participant/patient having a full understanding of possible risks and benefits involved.
197	polygamy 	 A form of marriage in which a person may have two or more spouses simultaneously.	 The practice of marriage of one individual to two or more other individuals.
198	dyad 	 A group consisting of two persons.	 The smallest possible group, consisting of two persons.
199	sample 	 A small proportion of a larger population.	 A technique to define what or whom to include in a study.
200	racism 	 The attribution of characteristics of superiority or inferiority to a population sharing certain physically inherited characteristics. Racism is a form of prejudice focusing on physical variations among people. Racist attitudes became entrenched during the period of Western colonial expansion, but also rest on mechanisms of prejudice and discrimination found in human societies today.	 Prejudice and/or discrimination against individuals who are members or particular racial or ethnic groups, often drawing on negative stereotypes about the group. Institutional racism refers to rules and regulations that organizations adopt that significantly harm members of a racial or ethnic group.
201	social mobility 	 Movement of individuals or groups among different social positions.	 The movement of individuals from one social position into another. Intergenerational social mobility is a measure of the extent to which parents and their children have similar or different social and economic positions in adulthood. Upward mobility is said to occur when an individual’s class is higher than that of his or her parents; downward mobility is the opposite.
202	sociological imagination 	 The application of imaginative thought to the asking and answering of sociological questions. Someone using the sociological imagination “thinks himself away” from the familiar routines of daily life.	 The capacity to think systematically about how many things we experience as personal problems—for example, debt from student loans, competing demands from divorced parents, or an inability to form a rewarding romantic relationship at college—are really social issues that are widely shared by others born in a similar time and social location as us. It involves taking into account how our individual lives are impacted by historical and social contexts.
203	fecundity 	 A measure of the number of children that it is biologically possible for a woman to produce.	 The number of children that women are capable of bearing.
204	poverty line 	 An official government measure to define those living in poverty in the United States.	 Established by the government, it is the minimum income necessary to afford basic necessities. Anyone below this threshold is considered to be in poverty.
205	social group 	 A collection of people who regularly interact with one another on the basis of shared expectations concerning behavior and who share a sense of common identity.	 A collection of individuals formed around some kind of social identity or for some specific purpose.
206	megalopolis 	 The “city of all cities” in ancient Greece—used in modern times to refer to very large conurbations.	 An urban area consisting of at least two metropolises and their many suburbs.
207	entrepreneur 	 The owner or founder of a business firm.	 One who invests money in a business.
208	microsociology 	 The study of human behavior in contexts of face-to-face interaction.	 Analysis of social life that focuses on social interaction; typically used by symbolic interactionists.
209	deviance 	 Modes of action that do not conform to the norms or values held by most members of a group or society. What is regarded as deviant is as variable as the norms and values that distinguish different cultures and subcultures from one another. Forms of behavior that are highly esteemed by one group are regarded negatively by others.	 The violation of norms (or rules or expectations).
210	democracy 	 A political system that allows the citizens to participate in political decision making or to elect representatives to government bodies.	 A concept with multiple meanings, all of which concern the ability of ordinary people to exert direct control over their leaders. As form of governance in the modern world, democracy can be said to exist where leaders are chosen in free elections where anyone can run and the news media are freely allowed to discuss the issues and candidates. Broader conceptions of democracy incorporate a more direct role for citizen participation where everyone has the right to participate and equal resources to do so.
211	activity theory 	 A functionalist theory of aging, which holds that busy, engaged people are more likely to lead fulfilling and productive lives.	 The view that satisfaction during old age is related to a person’s amount and quality of activity.
212	status 	 The social honor or prestige that a particular group is accorded by other members of a society. Status groups normally display distinct styles of life—patterns of behavior that the members of a group follow. Status privilege may be positive or negative. Pariah status groups are regarded with disdain or treated as outcasts by the majority of the population.	 A distinct social category that is set off from others and has associated with it a set of expected behaviors and roles for individuals to assume. The category can often involve prestige, such as that accorded to individuals and to important social or economic roles (like “priest,” “lawyer,” “truck driver”). An individual’s status may reflect some accomplishment or position attained, one’s membership in a particular group, or both.
213	white-collar crime 	 Criminal activities carried out by those in white-collar, or professional, jobs.	 Illegal activities undertaken by businesses or by individuals working for corporations.
214	reference group 	 A group that provides a standard for judging one’s attitudes or behaviors.	 A set of individuals who share similar preferences or social positions and have influence on an individual or members of a group.
215	patriarchy 	 The dominance of men over women. All known societies are patriarchal, although there are variations in the degree and nature of the power men exercise, as compared with women. One of the prime objectives of women’s movements in modern societies is to combat existing patriarchal institutions.	 A gender system in which men have substantially more power than women in politics, the economy, and the family.
216	life expectancy 	 The number of years the average person can expect to live.	 The number of years that an average person at any age, including newborns, can expect to live.
217	discrimination 	 Behavior that denies to the members of a particular group resources or rewards that can be obtained by others. Discrimination must be distinguished from prejudice	 Any behavior, practice, or policy that harms, excludes, or disadvantages individuals on the basis of their group membership. Discrimination is often used by dominant groups to control opportunities and reduce the challenges from subordinate groups.
218	demographic transition 	 An interpretation of population change, which holds that a stable ratio of births to deaths is achieved once a certain level of economic prosperity has been reached. According to this notion, in preindustrial societies there is a rough balance between births and deaths, because population increase is kept in check by a lack of available food, by disease, or by war. In modern societies, by contrast, population equilibrium is achieved because families are moved by economic incentives to limit the number of children.	 A three-stage historical process of change in the size of populations
219	gender socialization 	 The learning of gender roles through social factors such as schooling, the media, and family.	 Learning society’s “gender map,” the paths in life set out for us because we are male or female.
220	Social Security 	 A government program that provides economic assistance to persons faced with unemployment, disability, or old age.	 In the United States, an umbrella term for legislation passed in 1935 which included pension (income) benefits for retired workers and citizens over 65, which is paid for through taxes on current workers.
221	social change 	 Alteration in basic structures of a social group or society. Social change is an ever-present phenomenon in social life, but has become especially intense in the modern era. The origins of modern sociology can be traced to attempts to understand the dramatic changes shattering the traditional world and promoting new forms of social order.	 The alteration of culture and societies over time.
222	scientific method 	 A step-by-step process of conducting research that begins with formulating a research hypothesis, then operationalizing variables, then collecting data, and finally drawing empirical and conceptual generalizations from the data.	 The use of objective, systematic observations to test theories.
223	social control 	 The institutions, norms, and rules through which societies attempt to shape and control individuals. Behavior that violates social rules is typically punished either formally or informally, reflecting the different ways in which social control is administered.	 A group’s formal and informal means of enforcing its norms.
224	iron law of oligarchy 	 A term coined by Weber’s student Robert Michels meaning that large organizations tend toward centralization of power, making democracy difficult.	 Robert Michels’ term for the tendency of formal organizations to be dominated by a small, self perpetuating elite.
225	culture 	 The values, norms, and material goods characteristic of a given group. Like the concept of society, the notion of culture is widely used in sociology and the other social sciences (particularly anthropology). Culture is one of the most distinctive properties of human social association.	 Systems of belief and knowledge shared by members of a group or society that shape individual and group behavior and attitudes. A society’s culture includes its language, customs, symbols, rituals, and other forms of meaning that are widely shared.
226	impression management 	 Preparing for the presentation of one’s social role.	 People’s efforts to control the impressions that others receive of them.
227	groupthink 	 A process by which the members of a group ignore ways of thinking and plans of action that go against the group consensus.	 A narrowing of thought by a group of people, leading to the perception that there is only one correct answer and that to even suggest alternatives is a sign of disloyalty.
228	resocialization 	 The process of learning new norms, values, and behaviors when one joins a new group or takes on a new social role, or when life circumstances change dramatically.	 The process of learning new norms, values, attitudes, and behaviors.
229	acid rain 	 Rain containing acid that is formed when the gaseous air pollutants nitrogen oxide and sulfur dioxide react with water molecules in the atmosphere.	 Rain containing sulfuric and nitric acids (burning fossil fuels release sulfur dioxide and nitrogen oxide that become sulfuric and nitric acids when they react with moisture in the air).
230	differential association 	 An interpretation of the development of criminal behavior proposed by Edwin H. Sutherland, according to whom criminal behavior is learned through association with others who regularly engage in crime.	 Edwin Sutherland’s term to indicate that people who associate with some groups learn an “excess of definitions” of deviance, increasing the likelihood that they will become deviant.
231	sexual orientation 	 The direction of one’s sexual or romantic attraction.	 Whether one’s sexual attractions are to members of the same sex, the other sex, or both.
232	polygyny 	 A form of marriage in which a man may have two or more wives simultaneously.	 A form of marriage in which men have more than one wife.
233	ethnography 	 The firsthand study of people using participant observation or interviewing.	 A qualitative research method for studying the way of life of a group of people by close observation of them over a relatively long period of time.
